iter	Passed	Remaining
754	15042	4881
755	15060	4860
756	15078	4840
757	15095	4819
758	15111	4798
759	15126	4776
760	15142	4755
761	15160	4735
762	15175	4713
763	15190	4692
764	15207	4671
765	15224	4650
766	15240	4629
767	15255	4608
768	15271	4587
769	15285	4565
770	15302	4545
771	15318	4524
772	15335	4503
773	15351	4482
774	15369	4462
775	15387	4441
776	15403	4420
777	15417	4399
778	15433	4378
779	15447	4356
780	15465	4336
781	15481	4315
782	15496	4294
783	15511	4273
784	15527	4252
785	15543	4231
786	15560	4211
787	15576	4190
788	15592	4169
789	15611	4149
790	15627	4129
791	15644	4108
792	15660	4087
793	15677	4067
794	15692	4046
795	15708	4025
796	15722	4004
797	15737	3983
798	15752	3962
799	15768	3942
800	15784	3921
801	15800	3900
802	15814	3879
803	15829	3858
804	15843	3837
805	15858	3817
806	15874	3796
807	15889	3775
808	15902	3754
809	15918	3733
810	15931	3712
811	15945	3691
812	15960	3671
813	15973	3650
814	15987	3629
815	16002	3608
816	16016	3587
817	16030	3566
818	16045	3546
819	16060	3525
820	16074	3504
821	16088	3483
822	16104	3463
823	16121	3443
824	16135	3422
825	16150	3402
826	16166	3381
827	16181	3361
828	16197	3341
829	16213	3320
830	16230	3300
831	16247	3280
832	16263	3260
833	16279	3240
834	16295	3219
835	16308	3199
836	16323	3178
837	16337	3158
838	16354	3138
839	16369	3117
840	16385	3097
841	16400	3077
842	16414	3057
843	16431	3037
844	16447	3017
845	16463	2996
846	16478	2976
847	16495	2956
848	16513	2937
849	16529	2916
850	16545	2896
851	16562	2877
852	16578	2856
853	16594	2836
854	16610	2816
855	16627	2797
856	16643	2777
857	16659	2757
858	16673	2736
859	16687	2716
860	16702	2696
861	16715	2676
862	16729	2655
863	16743	2635
864	16757	2615
865	16773	2595
866	16790	2575
867	16806	2555
868	16823	2536
869	16850	2517
870	16875	2499
871	16899	2480
872	16917	2461
873	16934	2441
874	16955	2422
875	16969	2402
876	16983	2381
877	16997	2361
878	17012	2341
879	17027	2321
880	17041	2301
881	17055	2281
882	17072	2262
883	17089	2242
884	17104	2222
885	17119	2202
886	17138	2183
887	17155	2163
888	17174	2144
889	17189	2124
890	17206	2104
891	17224	2085
892	17241	2065
893	17259	2046
894	17275	2026
895	17291	2007
896	17308	1987
897	17328	1968
898	17344	1948
899	17359	1928
900	17375	1909
901	17389	1889
902	17405	1869
903	17421	1850
904	17438	1830
905	17453	1810
906	17470	1791
907	17486	1771
908	17502	1752
909	17516	1732
910	17531	1712
911	17545	1692
912	17560	1673
913	17575	1653
914	17591	1634
915	17606	1614
916	17622	1595
917	17648	1576
918	17664	1556
919	17679	1537
920	17697	1518
921	17714	1498
922	17730	1479
923	17746	1459
924	17763	1440
925	17779	1420
926	17797	1401
927	17813	1382
928	17828	1362
929	17842	1342
930	17858	1323
931	17872	1304
932	17887	1284
933	17903	1265
934	17918	1245
935	17933	1226
936	17948	1206
937	17964	1187
938	17978	1167
939	17991	1148
940	18005	1128
941	18021	1109
942	18039	1090
943	18053	1070
944	18069	1051
945	18087	1032
946	18103	1013
947	18119	993
948	18134	974
949	18150	955
950	18168	936
951	18185	916
952	18203	897
953	18228	878
954	18243	859
955	18257	840
956	18271	820
957	18287	801
958	18305	782
959	18320	763
960	18336	744
961	18352	724
962	18365	705
963	18380	686
964	18396	667
965	18411	648
966	18426	628
967	18440	609
968	18455	590
969	18469	571
970	18483	552
971	18497	532
972	18511	513
973	18525	494
974	18540	475
975	18555	456
976	18572	437
977	18588	418
978	18604	399
979	18620	380
980	18636	360
981	18651	341
982	18666	322
983	18685	303
984	18702	284
985	18720	265
986	18736	246
987	18753	227
988	18775	208
989	18791	189
990	18807	170
991	18824	151
992	18841	132
993	18855	113
994	18869	94
995	18884	75
996	18898	56
997	18914	37
998	18930	18
999	18945	0
