1260 2164741 617
1261 2165358 167
1262 2165525 583
1263 2166108 641
1264 2166749 187
1265 2166936 623
1266 2167559 604
1267 2168163 641
1268 2168804 213
1269 2169017 612
1270 2169629 194
1271 2169823 621
1272 2170444 161
1273 2170605 629
1274 2171234 641
1275 2171875 159
1276 2172034 611
1277 2172645 180
1278 2172825 166
1279 2172991 148
1280 2173139 198
1281 2173337 603
1282 2173940 614
1283 2174554 620
1284 2175174 631
1285 2175805 621
1286 2176426 618
1287 2177044 641
1288 2177685 173
1289 2177858 583
1290 2178441 675
1291 2179116 213
1292 2179329 193
1293 2179522 622
1294 2180144 608
1295 2180752 184
1296 2180936 175
1298 2181111 171
1299 2181282 664
1300 2181946 201
1301 2182147 656
1302 2182803 221
1303 2183024 613
1304 2183637 175
1305 2183812 195
1306 2184007 629
1307 2184636 640
1308 2185276 657
1309 2185933 632
1310 2186565 649
1311 2187214 644
1312 2187858 648
1313 2188506 636
1315 2189142 645
1316 2189787 649
1317 2190436 647
1318 2191083 623
1319 2191706 200
1320 2191906 619
1321 2192525 616
1322 2193141 605
1323 2193746 614
1324 2194360 615
1325 2194975 630
1326 2195605 620
1327 2196225 649
1328 2196874 161
1329 2197035 583
1330 2197618 178
1331 2197796 609
1332 2198405 641
1333 2199046 176
1334 2199222 630
1335 2199852 181
1336 2200033 623
1337 2200656 607
1338 2201263 644
1339 2201907 641
1340 2202548 203
1341 2202751 610
1342 2203361 161
1343 2203522 629
1344 2204151 641
1345 2204792 222
1346 2205014 148
1347 2205162 212
1348 2205374 148
1349 2205522 601
1350 2206123 613
1351 2206736 620
1352 2207356 633
1353 2207989 622
1354 2208611 624
1355 2209235 173
1356 2209408 585
1357 2209993 641
1358 2210634 179
1359 2210813 187
1360 2211000 622
1361 2211622 606
1362 2212228 641
1363 2212869 240
1364 2213109 163
1365 2213272 166
1366 2213438 191
1367 2213629 609
1368 2214238 161
1369 2214399 628
1370 2215027 641
1371 2215668 208
1372 2215876 215
1373 2216091 599
1374 2216690 167
1375 2216857 584
1376 2217441 148
1377 2217589 175
1378 2217764 155
1379 2217919 185
1380 2218104 623
1381 2218727 622
1382 2219349 621
1383 2219970 198
1384 2220168 603
1385 2220771 615
1386 2221386 620
1387 2222006 630
1388 2222636 620
1389 2223256 649
1390 2223905 642
1391 2224547 175
1392 2224722 623
1393 2225345 606
1394 2225951 642
1395 2226593 232
1396 2226825 672
1397 2227497 596
1398 2228093 184
1399 2228277 621
1400 2228898 225
1401 2229123 659
1402 2229782 203
1403 2229985 615
1404 2230600 161
1405 2230761 630
1406 2231391 170
1407 2231561 642
1408 2232203 172
1409 2232375 646
1410 2233021 643
1411 2233664 675
1412 2234339 655
1413 2234994 632
1414 2235626 634
1416 2236260 646
1417 2236906 645
1418 2237551 674
1419 2238225 610
1420 2238835 200
1421 2239035 616
1422 2239651 620
1423 2240271 602
1424 2240873 614
1425 2241487 620
1426 2242107 630
1427 2242737 618
1428 2243355 674
1429 2244029 174
1430 2244203 585
1432 2244788 175
1433 2244963 624
1434 2245587 605
1435 2246192 642
1436 2246834 224
1437 2247058 223
1438 2247281 618
1439 2247899 180
1440 2248079 626
1442 2248705 638
1443 2249343 197
1444 2249540 200
1445 2249740 212
1446 2249952 206
1447 2250158 200
1448 2250358 601
1449 2250959 615
1450 2251574 615
1451 2252189 627
1452 2252816 624
1453 2253440 636
1454 2254076 180
1455 2254256 584
1456 2254840 642
1457 2255482 632
1458 2256114 190
1459 2256304 622
1460 2256926 604
1461 2257530 642
1462 2258172 190
1463 2258362 173
1464 2258535 251
1465 2258786 626
1466 2259412 195
1467 2259607 643
1468 2260250 642
1469 2260892 186
1470 2261078 585
1471 2261663 213
1472 2261876 644
1473 2262520 642
1474 2263162 169
1475 2263331 627
1476 2263958 604
1477 2264562 642
1478 2265204 183
1479 2265387 622
1480 2266009 220
1481 2266229 607
1482 2266836 174
1483 2267010 609
1484 2267619 642
1485 2268261 178
1486 2268439 184
1487 2268623 172
1488 2268795 217
1489 2269012 620
1490 2269632 679
1491 2270311 624
1492 2270935 640
1493 2271575 654
1494 2272229 640
1495 2272869 623
1497 2273492 646
1498 2274138 631
1499 2274769 644
1500 2275413 641
1501 2276054 781
1502 2276835 1095
1503 2277930 2938
1504 2280868 4410
1505 2285278 9678
1506 2294956 2190
1507 2297146 3165
1508 2300311 2100
1509 2302411 2281
1510 2304692 27042
